month_end,longs,shorts,carry_EUR,carry_GBP,carry_AUD,carry_JPY,carry_CHF,carry_CAD,mom_EUR,mom_GBP,mom_AUD,mom_JPY,mom_CHF,mom_CAD,value_EUR,value_GBP,value_AUD,value_JPY,value_CHF,value_CAD,carry_NZD,mom_NZD,value_NZD
2008-01-31,"['AUD', 'CHF', 'NZD']","['GBP', 'CAD', 'JPY']",4.8484,6.3594,7.29,0.86,2.3443,3.8325,0.1413,0.0139,0.1545,0.1365,0.1516,0.1736,-0.1192,0.0574,-0.3001,0.2124,0.1116,-0.3881,8.9,0.1419,-0.2018
2008-02-29,"['CHF', 'AUD', 'NZD']","['GBP', 'CAD', 'EUR']",4.4815,5.6597,7.18,0.85,2.2875,3.582,0.1474,0.0125,0.1841,0.1448,0.1709,0.1854,-0.0885,0.0829,-0.2787,0.1957,0.1066,-0.3498,8.75,0.1392,-0.1504
2008-03-31,"['EUR', 'JPY', 'CHF']","['CAD', 'GBP', 'AUD']",4.3621,5.642,7.69,0.85,2.4175,3.265,0.18,0.008,0.1273,0.1791,0.2213,0.1238,-0.0663,0.0758,-0.2891,0.194,0.1041,-0.329,8.82,0.0973,-0.1488
2008-04-30,"['EUR', 'JPY', 'CHF']","['CAD', 'GBP', 'NZD']",4.5964,5.8993,7.9,0.84,2.2881,2.185,0.1445,-0.0066,0.1332,0.1495,0.1657,0.1011,-0.0934,0.0733,-0.2695,0.1612,0.0717,-0.2818,8.91,0.0552,-0.1396
2008-05-30,"['AUD', 'JPY', 'CHF']","['CAD', 'GBP', 'NZD']",4.5964,5.8993,7.9,0.84,2.2881,2.185,0.1559,0.0006,0.1533,0.1552,0.1756,0.0759,-0.0934,0.0733,-0.2695,0.1612,0.0717,-0.2818,8.91,0.0632,-0.1396
2008-06-30,"['EUR', 'JPY', 'CHF']","['CAD', 'NZD', 'GBP']",4.8574,5.8264,7.75,0.84,2.0428,2.65,0.1638,-0.0078,0.1298,0.1613,0.1963,0.0433,-0.0535,0.0701,-0.2487,0.1857,0.0846,-0.2296,8.71,-0.0122,-0.1012
2008-07-31,"['JPY', 'CHF', 'EUR']","['CAD', 'NZD', 'GBP']",4.9405,5.9294,7.81,0.86,2.1437,2.6125,0.1397,-0.0226,0.1008,0.1,0.1465,0.0424,-0.0426,0.0841,-0.2232,0.1964,0.0675,-0.182,8.68,-0.0407,-0.0793
2008-08-29,"['EUR', 'JPY', 'CHF']","['CAD', 'GBP', 'AUD']",4.9405,5.9294,7.81,0.86,2.1437,2.6125,0.0765,-0.0971,0.0492,0.0644,0.0972,-0.0075,-0.0426,0.0841,-0.2232,0.1964,0.0675,-0.182,8.68,-0.0027,-0.0793
2008-09-30,"['NZD', 'CHF', 'JPY']","['CAD', 'AUD', 'GBP']",4.9652,5.7662,7.31,0.85,2.1834,2.47,-0.0107,-0.1289,-0.104,0.0827,0.0386,-0.0644,-0.0409,0.084,-0.1647,0.2064,0.071,-0.1755,8.2,-0.1169,-0.0208
2008-10-31,"['NZD', 'GBP', 'JPY']","['CAD', 'AUD', 'EUR']",5.0192,5.9106,7.27,0.87,2.1247,2.1175,-0.1202,-0.2274,-0.2824,0.1726,0.0012,-0.2192,-0.0296,0.1006,-0.0945,0.1889,0.0568,-0.1621,7.95,-0.2456,-0.0062
2008-11-28,"['NZD', 'GBP', 'JPY']","['CAD', 'AUD', 'EUR']",5.0192,5.9106,7.27,0.87,2.1247,2.1175,-0.1327,-0.2519,-0.2593,0.1625,-0.0675,-0.1935,-0.0296,0.1006,-0.0945,0.1889,0.0568,-0.1621,7.95,-0.2813,-0.0062
2008-12-31,"['AUD', 'GBP', 'NZD']","['CAD', 'CHF', 'EUR']",4.2383,4.4468,4.76,0.88,0.7003,1.7825,-0.0419,-0.2625,-0.1976,0.2316,0.0599,-0.1846,0.0203,0.1707,0.1217,0.0746,0.0311,-0.0128,6.25,-0.2436,0.1214
2009-01-30,"['JPY', 'NZD', 'GBP']","['CAD', 'CHF', 'EUR']",4.2383,4.4468,4.76,0.88,0.7003,1.7825,-0.1372,-0.2686,-0.2886,0.1822,-0.068,-0.1835,0.0203,0.1707,0.1217,0.0746,0.0311,-0.0128,6.25,-0.3534,0.1214
2009-02-27,"['AUD', 'NZD', 'GBP']","['CAD', 'CHF', 'EUR']",3.2926,3.1725,4.39,0.74,0.1075,1.05,-0.1654,-0.2802,-0.3143,0.0633,-0.11,-0.226,-0.0007,0.2226,0.13,0.0246,0.0402,0.0009,5.23,-0.3727,0.1514
2009-03-31,"['GBP', 'AUD', 'NZD']","['CAD', 'CHF', 'EUR']",1.943,2.0904,3.16,0.71,0.11,0.7275,-0.1587,-0.2758,-0.2405,0.0045,-0.1269,-0.1862,0.017,0.2467,0.1692,0.0218,0.0095,-0.0255,3.4,-0.2859,0.2305
2009-04-30,"['GBP', 'AUD', 'NZD']","['CAD', 'CHF', 'EUR']",1.6355,1.8314,3.16,0.65,0.113,0.4075,-0.1523,-0.2548,-0.2262,0.0508,-0.0919,-0.1558,-0.0224,0.2596,0.1214,0.0623,0.0069,-0.0111,3.24,-0.2758,0.1817
2009-05-29,"['JPY', 'GBP', 'NZD']","['CAD', 'CHF', 'EUR']",1.6355,1.8314,3.16,0.65,0.113,0.4075,-0.0899,-0.1829,-0.1622,0.1056,-0.0229,-0.0887,-0.0224,0.2596,0.1214,0.0623,0.0069,-0.0111,3.24,-0.1843,0.1817
2009-06-30,"['GBP', 'NZD', 'JPY']","['CAD', 'CHF', 'EUR']",1.2817,1.3579,3.13,0.57,0.0913,0.18,-0.1054,-0.1732,-0.1581,0.1018,-0.0598,-0.1221,-0.0214,0.2226,-0.023,0.0658,0.0208,-0.1183,2.82,-0.1525,0.0831
