direction,entry,exit,pnl,open_time,close_time,reason
LONG,7.821500,7.828090,0.006590,2023-09-26T04:57:00+00:00,2023-10-04T16:20:00+00:00,REV
SHORT,7.828090,7.832790,-0.004700,2023-10-04T16:20:00+00:00,2023-10-06T16:10:00+00:00,REV
LONG,7.832790,7.828280,-0.004510,2023-10-06T16:10:00+00:00,2023-10-10T00:45:00+00:00,REV
SHORT,7.828280,7.824360,0.003920,2023-10-10T00:45:00+00:00,2023-10-13T12:58:00+00:00,REV
LONG,7.824360,7.817970,-0.006390,2023-10-13T12:58:00+00:00,2023-10-16T12:15:00+00:00,REV
SHORT,7.817970,7.824920,-0.006950,2023-10-16T12:15:00+00:00,2023-10-18T04:50:00+00:00,REV
LONG,7.824920,7.822000,-0.002920,2023-10-18T04:50:00+00:00,2023-10-20T03:55:00+00:00,REV
SHORT,7.822000,7.822540,-0.000540,2023-10-20T03:55:00+00:00,2023-10-31T03:31:00+00:00,REV
LONG,7.822540,7.821810,-0.000730,2023-10-31T03:31:00+00:00,2023-11-06T03:10:00+00:00,REV
SHORT,7.821810,7.797970,0.023840,2023-11-06T03:10:00+00:00,2023-11-22T03:47:00+00:00,REV
LONG,7.797970,7.793820,-0.004150,2023-11-22T03:47:00+00:00,2023-11-24T09:48:00+00:00,REV
SHORT,7.793820,7.798150,-0.004330,2023-11-24T09:48:00+00:00,2023-11-29T03:59:00+00:00,REV
LONG,7.798150,7.810890,0.012740,2023-11-29T03:59:00+00:00,2023-12-06T08:19:00+00:00,REV
SHORT,7.810890,7.812180,-0.001290,2023-12-06T08:19:00+00:00,2023-12-13T08:47:00+00:00,REV
LONG,7.812180,7.805190,-0.006990,2023-12-13T08:47:00+00:00,2023-12-15T08:27:00+00:00,REV
SHORT,7.805190,7.805580,-0.000390,2023-12-15T08:27:00+00:00,2023-12-20T11:00:00+00:00,REV
LONG,7.805580,7.806760,0.001180,2023-12-20T11:00:00+00:00,2023-12-26T21:49:00+00:00,REV
SHORT,7.806760,7.816580,-0.009820,2023-12-26T21:49:00+00:00,2023-12-27T03:41:00+00:00,REV
LONG,7.816580,7.806790,-0.009790,2023-12-27T03:41:00+00:00,2024-01-02T00:44:00+00:00,REV
SHORT,7.806790,7.812540,-0.005750,2024-01-02T00:44:00+00:00,2024-01-09T08:58:00+00:00,REV
LONG,7.812540,7.818520,0.005980,2024-01-09T08:58:00+00:00,2024-01-18T02:46:00+00:00,REV
SHORT,7.818520,7.823070,-0.004550,2024-01-18T02:46:00+00:00,2024-01-23T09:35:00+00:00,REV
LONG,7.823070,7.815540,-0.007530,2024-01-23T09:35:00+00:00,2024-01-25T15:00:00+00:00,REV
SHORT,7.815540,7.818370,-0.002830,2024-01-25T15:00:00+00:00,2024-01-31T03:34:00+00:00,REV
LONG,7.818370,7.819610,0.001240,2024-01-31T03:34:00+00:00,2024-02-07T03:07:00+00:00,REV
SHORT,7.819610,7.820380,-0.000770,2024-02-07T03:07:00+00:00,2024-02-15T10:59:00+00:00,REV
LONG,7.820380,7.818990,-0.001390,2024-02-15T10:59:00+00:00,2024-02-21T04:53:00+00:00,REV
SHORT,7.818990,7.822710,-0.003720,2024-02-21T04:53:00+00:00,2024-02-22T08:34:00+00:00,REV
LONG,7.822710,7.825750,0.003040,2024-02-22T08:34:00+00:00,2024-03-04T11:21:00+00:00,REV
SHORT,7.825750,7.822090,0.003660,2024-03-04T11:21:00+00:00,2024-03-11T22:35:00+00:00,REV
LONG,7.822090,7.820640,-0.001450,2024-03-11T22:35:00+00:00,2024-03-15T03:54:00+00:00,REV
SHORT,7.820640,7.823460,-0.002820,2024-03-15T03:54:00+00:00,2024-03-18T02:22:00+00:00,REV
LONG,7.823460,7.820560,-0.002900,2024-03-18T02:22:00+00:00,2024-03-18T04:19:00+00:00,REV
SHORT,7.820560,7.823520,-0.002960,2024-03-18T04:19:00+00:00,2024-03-19T18:01:00+00:00,REV
LONG,7.823520,7.819580,-0.003940,2024-03-19T18:01:00+00:00,2024-03-22T05:04:00+00:00,REV
