market,date,code,oi,nc_long,nc_short,nc_spread,c_long,c_short,nr_long,nr_short
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1987-09-15,096741,23232,6788,2059,30,6656,27234,9758,-6091
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1987-09-15,097741,40933,8963,6834,732,19487,20939,11751,12428
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1987-09-15,098661,4831,505,467,1748,1700,2029,878,587
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1987-09-30,090741,21422,8694,0,557,601,17261,11570,3604
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1987-09-30,092741,23328,3570,5227,54,9357,5513,10347,12534
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1987-09-30,096741,26290,6383,1529,107,8172,16881,11628,7773
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1987-09-30,097741,37058,5653,4665,416,18090,16971,12899,15006
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1987-09-30,098661,5308,551,1030,1928,1871,2200,958,150
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1987-10-15,090741,23337,10116,0,535,613,18631,12073,4171
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1987-10-15,092741,24020,5659,1445,95,4921,13840,13345,8640
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1987-10-15,096741,45911,20304,1619,0,5452,33363,20155,10929
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1987-10-15,097741,49237,12992,1185,528,14501,36424,21216,11100
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1987-10-15,098661,6654,520,1693,2421,3230,2200,483,340
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1987-10-30,090741,19138,2393,480,472,7702,14246,8571,3940
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1987-10-30,092741,29809,5759,1745,200,8915,19017,14935,8847
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1987-10-30,096741,41563,9388,515,202,15200,31703,16773,9143
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1987-10-30,097741,46297,8745,1155,457,16855,35076,20240,9609
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1987-10-30,098661,1281,217,328,200,480,400,384,353
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1987-11-13,090741,18209,2196,480,439,8992,11846,6582,5444
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1987-11-13,092741,34579,6837,4132,450,12869,19109,14423,10888
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1987-11-13,096741,42553,9569,825,258,16669,32869,16057,8601
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1987-11-13,097741,52752,8134,1669,1505,24414,38332,18699,11246
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1987-11-13,098661,5507,105,567,2303,2476,2200,623,437
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1987-11-30,090741,19321,2527,480,1144,6851,12217,8799,5480
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1987-11-30,092741,40772,6900,1359,0,17840,26598,16032,12815
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1987-11-30,096741,46132,13959,1397,297,14094,35267,17782,9171
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1987-11-30,097741,60299,10972,2069,825,26687,44902,21815,12503
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1987-11-30,098661,5972,1003,973,2171,2099,2500,699,328
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1987-12-15,090741,12185,3452,646,633,2124,13536,5976,-2630
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1987-12-15,092741,20484,5144,769,50,15141,12555,149,7110
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1987-12-15,096741,25688,6920,1046,4,10593,24243,8171,395
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1987-12-15,097741,36598,10625,3674,549,18202,21778,7222,10597
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1987-12-15,098661,6188,489,995,2474,2300,2437,925,282
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1987-12-31,090741,14908,4907,669,834,0,10054,9167,3351
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1987-12-31,092741,24298,4528,2958,0,8529,9376,11241,11964
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1987-12-31,096741,28589,9158,515,0,8636,21782,10795,6292
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1987-12-31,097741,42656,11861,4966,1290,9768,24835,19737,11565
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1987-12-31,098661,5638,442,1129,2126,2100,2144,970,239
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1988-01-15,090741,21722,7950,219,1028,613,17590,12131,2885
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1988-01-15,092741,25218,5797,2434,180,9334,12738,9907,9866
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1988-01-15,096741,27795,3899,1747,0,13308,20575,10588,5473
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1988-01-15,097741,48605,10284,7954,819,21534,23140,15968,16692
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1988-01-15,098661,5742,199,860,2325,2300,2300,918,257
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1988-01-29,090741,25446,9296,426,1058,839,19844,14253,4118
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1988-01-29,092741,28279,4516,2925,150,13697,13212,9916,11992
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1988-01-29,096741,36055,7119,6136,149,20627,19079,8160,10691
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1988-01-29,097741,54303,13171,9937,619,24025,27009,16488,16738
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1988-01-29,098661,6336,466,1021,2339,2600,2800,931,176
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1988-02-12,090741,25254,9635,1260,1100,619,18318,13900,4576
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1988-02-12,092741,32857,4285,4073,101,17220,15943,11251,12740
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1988-02-12,096741,40295,2261,5531,0,30502,19711,7532,15053
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1988-02-12,097741,53494,7925,3353,770,28939,30595,15860,18776
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1988-02-12,098661,6368,743,949,2115,2300,2900,1210,404
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1988-02-29,090741,23411,9283,485,969,469,17065,12690,4892
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1988-02-29,092741,32494,6183,3898,1,14604,15781,11706,12814
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1988-02-29,096741,43161,2962,4611,204,27058,28304,12937,10042
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1988-02-29,097741,61820,10397,7086,1163,26861,38220,23399,15351
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1988-02-29,098661,3394,1037,659,847,900,1200,610,688
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1988-03-15,090741,18998,5965,0,476,2740,17310,9817,1212
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1988-03-15,092741,19690,6061,2509,0,14092,16433,-463,748
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1988-03-15,096741,30238,10912,5802,0,13637,31402,5689,-6966
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1988-03-15,097741,42519,14343,10637,807,16670,45536,10699,-14461
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1988-03-15,098661,4607,1519,1261,1510,600,1500,978,336
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1988-03-31,090741,24339,8840,545,313,793,17623,14393,5858
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1988-03-31,092741,24835,6441,1776,0,5760,14870,12634,8189
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1988-03-31,096741,42359,15086,4287,0,9499,30254,17774,7818
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1988-03-31,097741,53572,17284,3144,807,10604,38887,24877,10734
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1988-03-31,098661,5066,1493,1038,1777,600,1400,1196,851
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1988-04-15,090741,23747,6314,875,664,2792,17361,13977,4847
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1988-04-15,092741,27477,6080,2867,14,8483,13224,12900,11372
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1988-04-15,096741,38720,6753,4317,13,13828,25561,18126,8829
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1988-04-15,097741,45478,12841,2945,807,7738,27770,24092,13956
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1988-04-15,098661,6801,2161,1047,2080,1520,3365,1040,309
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1988-04-29,090741,25940,6206,2171,1656,2397,16248,15681,5865
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1988-04-29,092741,27511,4058,4273,0,12023,9906,11430,13332
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1988-04-29,096741,38662,7219,4943,13,14177,24595,17253,9111
BRITISH POUND STERLING- NEW - INTERNATIONAL MONETARY MARKET,1988-04-29,096742,3714,0,0,0,2403,2386,1311,1328
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1988-04-29,097741,43499,10253,4599,747,12002,22680,20497,15473
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1988-04-29,098661,6840,1927,1098,2080,1430,3365,1403,297
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1988-05-13,090741,28220,8885,1783,2125,2520,17534,14690,6778
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1988-05-13,092741,34875,5182,7103,5,18336,10940,11352,16827
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1988-05-13,096741,45362,12162,2725,1,16367,30213,16832,12423
BRITISH POUND STERLING- NEW - INTERNATIONAL MONETARY MARKET,1988-05-13,096742,4051,231,0,0,2187,2286,1633,1765
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1988-05-13,097741,51139,10180,5224,868,15578,29321,24513,15726
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1988-05-13,098661,7172,1998,1164,2380,900,3365,1894,263
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1988-05-13,232741,2739,1328,900,0,486,629,925,1210
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1988-05-31,090741,29846,5917,1889,4511,4764,16212,14654,7234
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1988-05-31,092741,41433,4270,10109,0,23450,11135,13713,20189
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1988-05-31,096741,39082,3954,8139,0,23172,18896,11956,12047
BRITISH POUND STERLING- NEW - INTERNATIONAL MONETARY MARKET,1988-05-31,096742,6090,0,267,0,2967,1420,3123,4403
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1988-05-31,097741,49763,8211,8867,1044,21626,21388,18882,18464
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1988-05-31,098661,7296,940,1057,2758,900,2840,2698,641
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1988-05-31,232741,8929,4958,4110,1102,1951,2852,918,865
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1988-06-15,090741,36198,19403,1286,313,1292,30656,15190,3943
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1988-06-15,092741,27045,4549,7840,0,11952,2902,10544,16303
BRITISH POUND STERLING- NEW - INTERNATIONAL MONETARY MARKET,1988-06-15,096742,16980,996,4132,0,7449,2602,8535,10246
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1988-06-15,097741,35732,7397,11887,1047,21503,9454,5785,13344
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1988-06-15,098661,6273,1016,2503,2080,900,1350,2277,340
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1988-06-15,232741,4198,1418,3451,11,2123,364,646,372
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1988-06-30,090741,33848,18320,307,639,2002,29055,12887,3847
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1988-06-30,092741,25519,5384,4468,0,9351,6642,10784,14409
BRITISH POUND STERLING- NEW - INTERNATIONAL MONETARY MARKET,1988-06-30,096742,16530,300,2960,0,8505,3676,7725,9894
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1988-06-30,097741,42550,10558,11015,293,19867,11738,11832,19504
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1988-06-30,098661,6142,1164,2766,2110,1170,900,1698,366
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1988-06-30,232741,4992,236,0,0,3704,4276,1052,716
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1988-07-15,090741,33023,17929,763,607,1459,26292,13028,5361
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1988-07-15,092741,31989,6252,5498,0,14054,11507,11683,14984
BRITISH POUND STERLING- NEW - INTERNATIONAL MONETARY MARKET,1988-07-15,096742,17980,941,2692,0,8698,3557,8341,11731
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1988-07-15,097741,52812,15488,9916,401,24870,21452,12053,21043
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1988-07-15,098661,5925,1186,2542,2113,1470,900,1156,370
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1988-07-15,232741,4773,0,0,0,3762,3805,1011,968
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1988-07-29,090741,30069,9590,512,809,7289,23272,12381,5476
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1988-07-29,092741,29120,3460,3349,0,14769,10460,10891,15311
BRITISH POUND STERLING- NEW - INTERNATIONAL MONETARY MARKET,1988-07-29,096742,16199,0,1400,0,6774,4274,9425,10525
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1988-07-29,097741,49262,8645,10440,156,23648,20632,16813,18034
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1988-07-29,098661,6431,1614,2563,2153,900,900,1764,815
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1988-07-29,232741,5314,827,0,0,3650,4139,837,1175
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1988-08-15,090741,28090,5469,1826,1382,11536,16532,9703,8350
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1988-08-15,092741,33668,5111,2918,0,15330,14554,13227,16196
BRITISH POUND STERLING- NEW - INTERNATIONAL MONETARY MARKET,1988-08-15,096742,19804,1412,1236,1,7316,9006,11075,9561
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1988-08-15,097741,47371,8873,9946,485,22164,19803,15849,17137
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1988-08-15,098661,6070,2045,2371,2158,900,900,967,641
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1988-08-15,232741,5603,879,0,0,3763,4692,961,911
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1988-08-31,090741,28513,2707,3136,1164,15703,14662,8939,9551
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1988-08-31,092741,35500,5647,2446,0,16838,15866,13015,17188
BRITISH POUND STERLING- NEW - INTERNATIONAL MONETARY MARKET,1988-08-31,096742,19574,3255,1033,0,6472,8667,9847,9874
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1988-08-31,097741,63746,6506,20609,623,37284,13232,19333,29282
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1988-08-31,098661,5950,1659,977,2354,900,930,1037,1689
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1988-08-31,232741,6813,1593,0,0,4036,5465,1184,1348
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1988-09-15,090741,25186,2412,3343,715,13112,14111,8947,7017
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1988-09-15,092741,37358,3439,3301,304,20981,19144,12634,14609
BRITISH POUND STERLING- NEW - INTERNATIONAL MONETARY MARKET,1988-09-15,096742,19741,199,831,1,10901,10155,8640,8754
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1988-09-15,097741,57941,4444,12323,462,38118,24629,14917,20527
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1988-09-15,098661,3067,444,799,1476,0,25,1147,767
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1988-09-15,232741,7023,980,0,0,5184,5944,859,1079
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1988-09-30,090741,17849,3819,2564,229,1758,9866,12043,5190
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1988-09-30,092741,20240,3940,4342,0,6888,4555,9412,11343
BRITISH POUND STERLING- NEW - INTERNATIONAL MONETARY MARKET,1988-09-30,096742,12790,1761,1326,0,3929,3224,7100,8240
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1988-09-30,097741,31690,3808,9590,122,16545,5911,11215,16067
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1988-09-30,098661,5041,626,1190,1554,1500,1700,1361,597
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1988-10-14,090741,21686,5223,735,0,1452,16162,15011,4789
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1988-10-14,092741,25886,6850,1875,0,4730,15313,14306,8698
BRITISH POUND STERLING- NEW - INTERNATIONAL MONETARY MARKET,1988-10-14,096742,22023,6874,1316,1,2240,12717,12908,7989
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1988-10-14,097741,48413,13057,7866,400,15690,23622,19266,16525
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1988-10-14,098661,6182,1222,1655,1529,1555,1500,1876,1498
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1988-10-31,090741,23452,5651,840,81,1881,14075,15839,8456
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1988-10-31,092741,34238,10438,633,544,6322,23967,16934,9094
BRITISH POUND STERLING- NEW - INTERNATIONAL MONETARY MARKET,1988-10-31,096742,19073,3773,366,1019,2866,9893,11415,7795
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1988-10-31,097741,48882,12505,5757,1453,16843,26142,18081,15530
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1988-10-31,098661,6462,2028,2297,1062,1500,2250,1872,853
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1988-11-15,090741,17370,2366,1788,229,5855,7003,8920,8350
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1988-11-15,092741,36751,10839,1623,0,7631,27124,18281,8004
BRITISH POUND STERLING- NEW - INTERNATIONAL MONETARY MARKET,1988-11-15,096742,19333,4097,0,0,3675,12165,11561,7168
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1988-11-15,097741,51272,15632,4100,0,16197,31054,19443,16118
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1988-11-15,098661,6096,1425,1560,1788,1550,1852,1333,896
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1988-11-30,090741,28227,9566,2714,595,2541,17074,15525,7844
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1988-11-30,092741,37544,11514,1661,0,7760,26457,18270,9426
BRITISH POUND STERLING- NEW - INTERNATIONAL MONETARY MARKET,1988-11-30,096742,28514,8470,0,0,4668,19937,15376,8577
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1988-11-30,097741,55538,13825,4598,0,16371,29125,25342,21815
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1988-11-30,098661,6047,1333,1007,1562,1587,2618,1565,860
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1988-12-15,090741,27374,5181,2548,284,9301,17917,12608,6625
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1988-12-15,092741,34907,7021,5729,0,14809,17322,13077,11856
BRITISH POUND STERLING- NEW - INTERNATIONAL MONETARY MARKET,1988-12-15,096742,28928,6098,2048,216,11171,18167,11443,8497
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1988-12-15,097741,54094,6000,6792,1720,32477,27163,13897,18419
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1988-12-15,098661,7470,1742,633,2222,1100,3511,2406,1104
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1988-12-30,090741,21974,8136,1566,0,1515,16608,12323,3800
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1988-12-30,092741,21478,5756,4396,0,7080,5689,8642,11393
BRITISH POUND STERLING- NEW - INTERNATIONAL MONETARY MARKET,1988-12-30,096742,16277,2251,1907,0,5998,7812,8028,6558
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1988-12-30,097741,32647,4205,10957,554,17487,4960,10401,16176
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1988-12-30,098661,6186,1204,1096,1582,1690,3073,1710,435
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1989-01-13,090741,21597,6105,1241,16,2636,14168,12840,6172
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1989-01-13,092741,27648,4383,6322,200,12329,5655,10736,15471
BRITISH POUND STERLING- NEW - INTERNATIONAL MONETARY MARKET,1989-01-13,096742,24359,1356,6839,0,15422,6099,7581,11421
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1989-01-13,097741,38313,3730,10446,248,22251,7509,12084,20110
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1989-01-13,098661,6295,1543,433,1580,1633,3521,1539,761
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1989-01-31,090741,29437,12506,3429,213,1923,19515,14795,6280
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1989-01-31,092741,30853,3612,12424,0,16170,2787,11071,15642
BRITISH POUND STERLING- NEW - INTERNATIONAL MONETARY MARKET,1989-01-31,096742,24733,3285,6149,15,13662,8237,7771,10332
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1989-01-31,097741,52064,10704,15958,2647,24368,11828,14345,21631
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1989-01-31,098661,5455,1311,651,1007,1570,2629,1567,1168
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1989-02-15,090741,28642,9739,3242,0,3684,16599,15219,8801
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1989-02-15,092741,30209,6593,4986,3,10474,12120,13139,13100
BRITISH POUND STERLING- NEW - INTERNATIONAL MONETARY MARKET,1989-02-15,096742,23653,1357,5117,303,12997,7341,8996,10892
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1989-02-15,097741,47922,8131,8316,1016,17853,24031,20922,14559
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1989-02-15,098661,4829,564,758,1592,1667,1500,1006,979
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1989-02-28,090741,30683,1373,3757,2964,15896,11155,10450,12807
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1989-02-28,092741,31709,5474,3982,5,10047,13148,16183,14574
BRITISH POUND STERLING- NEW - INTERNATIONAL MONETARY MARKET,1989-02-28,096742,25427,488,5939,1903,14233,7477,8803,10108
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1989-02-28,097741,50738,8531,11659,1660,18438,22968,22109,14451
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1989-02-28,098661,6334,1784,1930,1354,1585,2008,1611,1042
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1989-02-28,232741,3655,0,213,0,1594,1784,2061,1658
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1989-03-15,090741,15491,3429,1669,347,3052,2707,8663,10768
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1989-03-15,092741,30339,2902,10017,656,16857,1650,9924,18016
BRITISH POUND STERLING- NEW - INTERNATIONAL MONETARY MARKET,1989-03-15,096742,20601,2579,6212,3,12214,2148,5805,12238
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1989-03-15,097741,49798,7389,25962,1838,29367,2182,11204,19816
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1989-03-15,098661,3980,1731,1608,1877,0,0,372,495
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1989-03-31,090741,19631,7049,1965,105,1235,8519,11242,9042
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1989-03-31,092741,36992,5796,14133,7,20296,2279,10893,20573
BRITISH POUND STERLING- NEW - INTERNATIONAL MONETARY MARKET,1989-03-31,096742,21413,800,8183,0,14552,962,6061,12268
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1989-03-31,097741,51867,7714,24420,277,28226,5131,15650,22039
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1989-03-31,098661,5837,1478,1147,2169,74,1340,2116,1181
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1989-04-14,090741,20893,7688,1648,50,1192,10376,11963,8819
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1989-04-14,092741,34669,8631,9864,324,11483,7078,14231,17403
BRITISH POUND STERLING- NEW - INTERNATIONAL MONETARY MARKET,1989-04-14,096742,22808,4600,7083,706,10661,2848,6841,12171
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1989-04-14,097741,49884,6114,18194,987,23232,10641,19551,20062
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1989-04-14,098661,9490,2474,3119,5360,483,0,1173,1011
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1989-04-28,090741,22867,7729,1517,353,3329,10544,11456,10453
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1989-04-28,092741,34448,4020,9172,0,17167,4558,13261,20718
BRITISH POUND STERLING- NEW - INTERNATIONAL MONETARY MARKET,1989-04-28,096742,18096,2363,4056,59,8038,2475,7636,11506
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1989-04-28,097741,52005,5491,16509,2931,27510,12962,16073,19603
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1989-04-28,098661,6150,3297,2062,1510,63,1687,1280,891
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1989-05-15,090741,25373,10307,1157,878,2848,15064,11340,8274
